,Date,Symbol,Company,Sector,PClose,Open,High,Low,Close,Change,Deals,Volume,Value,VWAP
9630,2025-02-26,TRANSEXPR,,,2,2,2,2,2,0,2,110,220,2
9629,2025-02-26,TRANSCORP,,,57.1,57.1,57,56,56.2,-0.9,229,2954137,165670601.45,56.08
9628,2025-02-26,TRANSCOHOT,,,126.1,126.1,126.1,126.1,126.1,0,20,6759,820492.25,121.39
9627,2025-02-26,TOTAL,,,670,670,670,670,670,0,51,100976,67023259,663.75
9626,2025-02-26,TIP,,,3.99,3.99,3.68,3.67,3.67,-0.32,31,820919,3032622.35,3.69
9625,2025-02-26,TANTALIZER,,,2,2,2.02,1.95,2.02,0.02,35,4028039,8064615.91,2
9624,2025-02-26,SUNUASSUR,,,5.8,5.8,5.9,5.43,5.9,0.1,29,902389,5158128.73,5.72
9623,2025-02-26,STERLINGNG,,,5.6,5.6,5.63,5.6,5.63,0.03,241,11249366,62300779.18,5.54
9622,2025-02-26,STANBIC,,,64,64,64,64,64,0,52,138730,8868820.75,63.93
9621,2025-02-26,SOVRENINS,,,1.15,1.15,1.25,1.19,1.19,0.04,28,2065022,2523551.82,1.22
9620,2025-02-26,SKYAVN,,,46.5,46.5,46.5,46.5,46.5,0,8,8422,353050.7,41.92
9618,2025-02-26,SCOA,,,3.44,3.44,3.44,3.44,3.44,0,3,1050,3968.5,3.78
9587,2025-02-26,MAYBAKER,,,8.2,8.2,8.2,8.2,8.2,0,33,586510,4813520.5,8.21
9585,2025-02-26,LIVESTOCK,,,6.28,6.28,6.44,6.31,6.31,0.03,102,3420974,21789312.7,6.37
9584,2025-02-26,LINKASSURE,,,1.35,1.35,1.35,1.35,1.35,0,5,160000,212100,1.33
9550,2025-02-26,DAARCOMM,,,0.67,0.67,0.72,0.63,0.63,-0.4,45,1825859,1202900.44,0.66
9549,2025-02-26,CWG,,,8.3,8.3,8.35,8.35,8.35,0.05,43,836996,6799123.2,8.12
9548,2025-02-26,CUTIX,,,2.45,2.45,2.55,2.45,2.55,0.1,74,3005753,7456119.97,2.48
9547,2025-02-26,CUSTODIAN,,,19,19,19.2,19.2,19.2,0.2,36,642299,12364145.6,19.25
9546,2025-02-26,CORNERST,,,3.3,3.3,3.15,3.15,3.15,-0.15,21,267774,855321.92,3.19
9545,2025-02-26,CONOIL,,,378,378,378,378,378,0,24,467,158873.4,340.2
9544,2025-02-26,CONHALLPLC,,,3.88,3.88,3.9,3.84,3.9,0.02,24,959951,3705323.44,3.86
9543,2025-02-26,CILEASING,,,3.92,3.92,3.92,3.92,3.92,0,27,454105,1755916.02,3.87
9542,2025-02-26,CHELLARAM,,,7.89,7.89,7.89,7.89,7.89,0,10,44232,339188,7.67
9541,2025-02-26,CHAMS,,,2.1,2.1,2.15,2.1,2.15,0.05,90,2651618,5627080.62,2.12
9540,2025-02-26,CHAMPION,,,3.75,3.75,3.8,3.75,3.8,0.05,35,1580221,5968860.44,3.78
9539,2025-02-26,CAVERTON,,,2.23,2.23,2.45,2.39,2.45,0.22,66,1198091,2902853.68,2.42
9538,2025-02-26,CAP,,,47,47,47,47,47,0,11,5832,262577.8,45.02
9551,2025-02-26,DANGCEM,,,480,480,480,480,480,0,198,293558,126921779.9,432.36
9537,2025-02-26,CADBURY,,,29.1,29.1,29.1,29.1,29.1,0,53,322125,8559057.1,26.57
9535,2025-02-26,BUACEMENT,,,93,93,93,93,93,0,184,2086513,174641138.1,83.7
9534,2025-02-26,BETAGLAS,,,99.85,99.85,99.85,99.85,99.85,0,19,16192,1532861.3,94.67
9533,2025-02-26,BERGER,,,20.9,20.9,20.9,20.9,20.9,0,21,39734,777024.15,19.56
9532,2025-02-26,AUSTINLAZ,,,1.9,1.9,1.9,1.9,1.9,0,3,2527,4971.3,1.97
9531,2025-02-26,ARADEL,,,515,515,515,515,515,0,228,465472,239185533.2,513.86
9530,2025-02-26,ALEX,,,7.15,7.15,7.15,7.15,7.15,0,5,1208,8422.7,6.97
9529,2025-02-26,AIRTELAFRI,,,2156.9,2156.9,2156.9,2156.9,2156.9,0,2,105,249112.5,2372.5
